Product Name,Price
"₹86,990",APPLE 2020 Macbook Air M1 
"₹67,990",ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7
"₹66,190",DELL Vostro Core i5 12th Gen 
"₹62,518",Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U 
"₹60,890",DELL Inspiron Core i5 11th Gen 
"₹58,490",DELL Core i5 11th Gen 
"₹53,990",ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5
"₹52,990",HP Intel Core i5 11th Gen 
"₹49,990",ASUS TUF Gaming F15 Core i5 10th Gen 
"₹46,990",ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5
"₹44,990",HP 15s Intel Core i3 12th Gen 
"₹40,490",Lenovo IdeaPad 3 Core i3 11th Gen 
"₹40,450",HP 15s Intel Core i3 11th Gen 
"₹39,990",RedmiBook Pro Core i5 11th Gen 
"₹38,990",ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5
"₹38,790",DELL Ryzen 3 Quad Core 5425U 
"₹38,517",Lenovo Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 
"₹37,990",DELL Vostro Core i3 11th Gen 
"₹36,990",HP 14s Intel Core i3 11th Gen 
"₹33,990",Lenovo IdeaPad 3 Core i3 11th Gen 
"₹29,990",Infinix INBook Y1 Plus Intel Core i3 10th Gen 
"₹26,990",acer Aspire 3 Ryzen 3 Dual Core 3250U 
"₹23,990",ASUS VivoBook 14 (2021) Celeron Dual Core 
"₹18,990",Lenovo Athlon Dual Core 
